starting bet count,end balance
2,1200.0
3,150.0
4,350.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,275.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,36.328125
2,1200.0
3,300.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,429.6875
9,203.90625
10,1200.0
2,1200.0
3,1200.0
4,275.0
5,1200.0
6,1200.0
7,265.625
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,87.5
6,162.5
7,268.75
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,131.25
8,137.5
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,337.5
6,162.5
7,1200.0
8,1200.0
9,1200.0
10,246.09375
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,150.0
5,150.0
6,131.25
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,350.0
5,312.5
6,1200.0
7,1200.0
8,120.3125
9,96.875
10,1200.0
2,1200.0
3,1200.0
4,350.0
5,150.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,0.0
4,350.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,37.5
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,50.0
4,1200.0
5,1200.0
6,1200.0
7,225.0
8,1200.0
9,204.6875
10,1200.0
2,1200.0
3,1200.0
4,25.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,0.0
3,300.0
4,1200.0
5,1200.0
6,100.0
7,237.5
8,1200.0
9,190.625
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,248.4375
9,1200.0
10,80.078125
2,100.0
3,1200.0
4,1200.0
5,262.5
6,1200.0
7,1200.0
8,1200.0
9,230.46875
10,1200.0
2,1200.0
3,50.0
4,275.0
5,1200.0
6,1200.0
7,175.0
8,1200.0
9,95.3125
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,246.875
9,1200.0
10,1200.0
2,0.0
3,50.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,225.0
9,1200.0
10,1200.0
2,1200.0
3,50.0
4,1200.0
5,87.5
6,300.0
7,1200.0
8,1200.0
9,401.5625
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,43.75
7,1200.0
8,1200.0
9,270.3125
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,375.0
6,1200.0
7,240.625
8,1200.0
9,1200.0
10,210.9375
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,37.5
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,225.0
5,262.5
6,318.75
7,84.375
8,1200.0
9,236.71875
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,37.5
8,1200.0
9,203.90625
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,262.5
6,68.75
7,1200.0
8,1200.0
9,1200.0
10,237.890625
2,100.0
3,250.0
4,1200.0
5,1200.0
6,137.5
7,100.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,150.0
8,215.625
9,247.65625
10,1200.0
2,100.0
3,1200.0
4,150.0
5,187.5
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,125.0
7,1200.0
8,226.5625
9,87.5
10,242.578125
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,45.703125
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,275.0
5,1200.0
6,1200.0
7,103.125
8,1200.0
9,1200.0
10,1200.0
2,100.0
3,250.0
4,1200.0
5,62.5
6,1200.0
7,1200.0
8,1200.0
9,270.3125
10,23.4375
2,1200.0
3,100.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,275.0
5,1200.0
6,162.5
7,1200.0
8,51.5625
9,1200.0
10,257.8125
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,319.140625
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,121.875
8,1200.0
9,1200.0
10,166.40625
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,6.25
9,1200.0
10,133.59375
2,1200.0
3,250.0
4,50.0
5,1200.0
6,256.25
7,1200.0
8,4.6875
9,1200.0
10,1200.0
2,100.0
3,100.0
4,150.0
5,137.5
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,162.5
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,100.0
3,50.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,0.0
3,1200.0
4,1200.0
5,1200.0
6,100.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,237.5
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,162.5
7,1200.0
8,215.625
9,1200.0
10,1200.0
2,1200.0
3,250.0
4,1200.0
5,312.5
6,1200.0
7,1200.0
8,279.6875
9,1200.0
10,1200.0
2,1200.0
3,0.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,209.375
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,162.5
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,0.0
3,50.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,208.59375
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,12.5
6,1200.0
7,1200.0
8,148.4375
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,275.0
5,1200.0
6,1200.0
7,1200.0
8,279.6875
9,1200.0
10,16.40625
2,1200.0
3,1200.0
4,1200.0
5,262.5
6,1200.0
7,1200.0
8,159.375
9,1200.0
10,1200.0
2,1200.0
3,250.0
4,1200.0
5,1200.0
6,100.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,250.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,100.0
3,50.0
4,275.0
5,1200.0
6,1200.0
7,0.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,50.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,128.125
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,100.0
5,0.0
6,1200.0
7,1200.0
8,1200.0
9,160.9375
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,312.5
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,196.875
2,0.0
3,250.0
4,100.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,0.0
7,168.75
8,292.1875
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,50.0
6,1200.0
7,146.875
8,1200.0
9,279.6875
10,1200.0
2,1200.0
3,50.0
4,0.0
5,175.0
6,1200.0
7,1200.0
8,82.8125
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,67.96875
2,1200.0
3,0.0
4,75.0
5,1200.0
6,162.5
7,146.875
8,1200.0
9,221.875
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,62.5
10,239.0625
2,1200.0
3,200.0
4,1200.0
5,312.5
6,1200.0
7,1200.0
8,217.1875
9,248.4375
10,1200.0
2,100.0
3,1200.0
4,1200.0
5,75.0
6,1200.0
7,1200.0
8,1200.0
9,303.125
10,1200.0
2,100.0
3,1200.0
4,1200.0
5,312.5
6,1200.0
7,18.75
8,217.1875
9,1200.0
10,18.75
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,306.25
9,1200.0
10,1200.0
2,1200.0
3,250.0
4,1200.0
5,1200.0
6,162.5
7,1200.0
8,1200.0
9,1200.0
10,51.5625
2,400.0
3,1200.0
4,275.0
5,1200.0
6,1200.0
7,300.0
8,1200.0
9,82.03125
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,187.5
6,1200.0
7,146.875
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,275.0
5,50.0
6,237.5
7,1200.0
8,1200.0
9,1200.0
10,162.5
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,100.390625
2,1200.0
3,1200.0
4,1200.0
5,175.0
6,18.75
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,100.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,295.3125
2,1200.0
3,1200.0
4,225.0
5,1200.0
6,1200.0
7,1200.0
8,137.5
9,1200.0
10,1200.0
2,100.0
3,1200.0
4,1200.0
5,350.0
6,1200.0
7,131.25
8,1200.0
9,7.8125
10,238.671875
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,96.875
8,1200.0
9,1200.0
10,51.5625
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,6.25
8,270.3125
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,50.0
5,1200.0
6,200.0
7,128.125
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,150.0
4,1200.0
5,50.0
6,1200.0
7,1200.0
8,215.625
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,25.0
5,262.5
6,1200.0
7,1200.0
8,212.5
9,1200.0
10,1200.0
2,0.0
3,50.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,137.5
9,1200.0
10,147.65625
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,190.625
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,300.0
7,1200.0
8,1200.0
9,57.03125
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,150.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,164.0625
9,1200.0
10,148.046875
2,1200.0
3,1200.0
4,175.0
5,1200.0
6,256.25
7,1200.0
8,1200.0
9,141.40625
10,1200.0
2,1200.0
3,1200.0
4,0.0
5,1200.0
6,1200.0
7,37.5
8,1200.0
9,1200.0
10,14.84375
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,106.25
7,1200.0
8,1200.0
9,1200.0
10,82.03125
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,162.5
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,99.609375
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,112.5
7,1200.0
8,1200.0
9,1200.0
10,175.78125
2,200.0
3,1200.0
4,1200.0
5,1200.0
6,318.75
7,1200.0
8,1200.0
9,1200.0
10,199.21875
2,1200.0
3,1200.0
4,275.0
5,1200.0
6,1200.0
7,18.75
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,325.0
6,1200.0
7,1200.0
8,1200.0
9,66.40625
10,150.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,137.5
10,166.40625
2,0.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,170.3125
10,1200.0
2,0.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,53.125
8,1200.0
9,12.5
10,1200.0
2,1200.0
3,200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,254.6875
9,1200.0
10,1200.0
2,100.0
3,1200.0
4,1200.0
5,100.0
6,193.75
7,137.5
8,1200.0
9,150.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,40.625
8,1200.0
9,1200.0
10,135.9375
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,150.0
9,241.40625
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,131.25
8,82.8125
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,1200.0
5,312.5
6,1200.0
7,1200.0
8,1200.0
9,166.40625
10,182.8125
2,1200.0
3,1200.0
4,1200.0
5,1200.0
6,1200.0
7,1200.0
8,1200.0
9,1200.0
10,1200.0
2,1200.0
3,1200.0
4,25.0
5,1200.0
6,1200.0
7,6.25
