starting bet count,end balance
2,1450.0
3,1450.0
4,1450.0
5,184.375
6,1450.0
7,1450.0
8,1450.0
9,1450.0
10,108.7890625
2,1450.0
3,325.0
4,212.5
5,128.125
6,1450.0
7,1450.0
8,1450.0
9,1450.0
10,1450.0
2,1450.0
3,1450.0
4,1450.0
5,1450.0
6,381.25
7,1450.0
8,486.71875
9,1450.0
10,430.46875
2,550.0
3,1450.0
4,1450.0
5,240.625
6,29.6875
7,282.8125
8,68.359375
9,1450.0
10,1450.0
2,325.0
3,1450.0
4,212.5
5,1450.0
6,1450.0
7,1450.0
8,1450.0
9,418.1640625
10,3.3203125
2,1450.0
3,1450.0
4,1450.0
5,353.125
6,1450.0
7,578.125
8,275.78125
9,1450.0
10,263.4765625
2,550.0
3,1450.0
4,1450.0
5,240.625
6,1450.0
7,416.40625
8,1450.0
9,71.875
10,437.5
2,325.0
3,437.5
4,212.5
5,1450.0
6,240.625
7,416.40625
8,363.671875
9,1450.0
10,1450.0
2,1450.0
3,325.0
4,1450.0
5,1450.0
6,29.6875
7,1450.0
8,1450.0
9,1450.0
10,1450.0
2,325.0
3,437.5
4,1450.0
5,1450.0
6,1450.0
7,1450.0
8,289.84375
9,1450.0
10,374.21875
2,325.0
3,1450.0
4,381.25
5,1450.0
6,240.625
7,1450.0
8,1450.0
9,1450.0
10,293.359375
2,1450.0
3,1450.0
4,1450.0
5,353.125
6,423.4375
7,1450.0
8,1450.0
9,1450.0
10,1450.0
2,1450.0
3,1450.0
4,156.25
5,1450.0
6,71.875
7,1450.0
8,1450.0
9,50.78125
10,1450.0
2,325.0
3,1450.0
4,1450.0
5,353.125
6,100.0
7,1450.0
8,349.609375
9,1450.0
10,379.4921875
2,325.0
3,212.5
4,1450.0
5,184.375
6,240.625
7,1450.0
8,363.671875
9,1450.0
10,151.85546875
2,1450.0
3,437.5
4,1450.0
5,1450.0
6,1450.0
7,1450.0
8,191.40625
9,1450.0
10,363.671875
2,1450.0
3,437.5
4,1450.0
5,353.125
6,381.25
7,1450.0
8,1450.0
9,208.984375
10,1450.0
2,325.0
3,437.5
4,1450.0
5,1450.0
6,1450.0
7,310.9375
8,1450.0
9,47.265625
10,403.22265625
2,550.0
3,1450.0
4,156.25
5,1450.0
6,310.9375
7,29.6875
8,370.703125
9,268.75
10,268.75
2,1450.0
3,1450.0
4,1450.0
5,465.625
6,1450.0
7,121.09375
8,1450.0
9,184.375
10,261.71875
2,1450.0
3,1450.0
4,1450.0
5,1450.0
6,240.625
7,1450.0
8,1450.0
9,367.1875
10,1450.0
2,550.0
3,1450.0
4,43.75
5,128.125
6,156.25
7,240.625
8,138.671875
9,1450.0
10,1450.0
2,1450.0
3,1450.0
4,43.75
5,128.125
6,1450.0
7,310.9375
8,117.578125
9,1450.0
10,1450.0
2,1450.0
3,1450.0
4,1450.0
5,1450.0
6,1450.0
7,1450.0
8,1450.0
9,1450.0
10,1450.0
2,550.0
3,325.0
4,1450.0
5,1450.0
6,1450.0
7,1450.0
8,363.671875
9,45.5078125
10,1450.0
2,1450.0
3,1450.0
4,212.5
5,184.375
6,381.25
7,1450.0
8,476.171875
9,1450.0
10,1450.0
2,1450.0
3,325.0
4,381.25
5,1450.0
6,1450.0
7,240.625
8,1450.0
9,1450.0
10,1450.0
2,325.0
3,1450.0
4,381.25
5,1450.0
6,381.25
7,500.78125
8,1450.0
9,449.8046875
10,1450.0
2,550.0
3,325.0
4,156.25
5,1450.0
6,1450.0
7,416.40625
8,191.40625
9,63.0859375
10,216.015625
2,550.0
3,1450.0
4,43.75
5,1450.0
6,1450.0
7,36.71875
8,1450.0
9,1450.0
10,1450.0
2,1450.0
3,325.0
4,381.25
5,212.5
6,156.25
7,353.125
8,166.796875
9,98.2421875
10,1450.0
2,1450.0
3,437.5
4,381.25
5,1450.0
6,1450.0
7,1450.0
8,363.671875
9,1450.0
10,1450.0
2,1450.0
3,1450.0
4,1450.0
5,100.0
6,1450.0
7,1450.0
8,1450.0
9,22.65625
10,1450.0
2,325.0
3,325.0
4,1450.0
5,1450.0
6,1450.0
7,1450.0
8,251.171875
9,1450.0
10,1450.0
2,325.0
3,1450.0
4,1450.0
5,1450.0
6,240.625
7,1450.0
8,142.1875
9,1450.0
10,268.75
2,325.0
3,437.5
4,212.5
5,1450.0
6,325.0
7,310.9375
8,1450.0
9,1450.0
10,1450.0
2,1450.0
3,212.5
4,550.0
5,1450.0
6,240.625
7,416.40625
8,1450.0
9,149.21875
10,1450.0
2,550.0
3,1450.0
4,1450.0
5,240.625
6,1450.0
7,416.40625
8,353.125
9,1450.0
10,363.671875
2,1450.0
3,325.0
4,212.5
5,100.0
6,1450.0
7,1450.0
8,363.671875
9,1450.0
10,1450.0
2,550.0
3,1450.0
4,268.75
5,1450.0
6,100.0
7,247.65625
8,54.296875
9,1450.0
10,1450.0
2,1450.0
3,1450.0
4,43.75
5,1450.0
6,381.25
7,1450.0
8,1450.0
9,1450.0
10,268.75
2,1450.0
3,212.5
4,212.5
5,128.125
6,1450.0
7,92.96875
8,1450.0
9,1450.0
10,1450.0
2,325.0
3,1450.0
4,1450.0
5,1450.0
6,15.625
7,121.09375
8,1450.0
9,419.921875
10,179.98046875
2,1450.0
3,1450.0
4,1450.0
5,184.375
6,381.25
7,1450.0
8,363.671875
9,1450.0
10,1450.0
2,1450.0
3,1450.0
4,1450.0
5,128.125
6,1450.0
7,416.40625
8,1450.0
9,303.90625
10,1450.0
2,1450.0
3,212.5
4,1450.0
5,1450.0
6,1450.0
7,416.40625
8,472.65625
9,1450.0
10,1450.0
2,1450.0
3,1450.0
4,212.5
5,1450.0
6,1450.0
7,1450.0
8,289.84375
9,1450.0
10,39.35546875
2,1450.0
3,437.5
4,1450.0
5,212.5
6,310.9375
7,1450.0
8,1450.0
9,1450.0
10,1450.0
