starting bet count,end balance
2,1400.0
3,1400.0
4,1400.0
5,300.0
6,250.0
7,193.75
8,1400.0
9,262.5
10,291.40625
2,1400.0
3,1400.0
4,1400.0
5,1400.0
6,12.5
7,12.5
8,1400.0
9,1400.0
10,317.1875
2,1400.0
3,1400.0
4,50.0
5,1400.0
6,1400.0
7,1400.0
8,106.25
9,1400.0
10,1400.0
2,1400.0
3,100.0
4,1400.0
5,1400.0
6,1400.0
7,200.0
8,193.75
9,1400.0
10,1400.0
2,1400.0
3,1400.0
4,1400.0
5,1400.0
6,325.0
7,1400.0
8,390.625
9,1400.0
10,1400.0
2,1400.0
3,200.0
4,300.0
5,1400.0
6,1400.0
7,106.25
8,1400.0
9,1400.0
10,1400.0
2,1400.0
3,300.0
4,150.0
5,125.0
6,0.0
7,1400.0
8,1400.0
9,51.5625
10,1400.0
2,400.0
3,1400.0
4,250.0
5,1400.0
6,25.0
7,1400.0
8,1400.0
9,1400.0
10,1400.0
2,1400.0
3,400.0
4,1400.0
5,1400.0
6,62.5
7,387.5
8,1400.0
9,1400.0
10,200.0
2,1400.0
3,400.0
4,1400.0
5,1400.0
6,325.0
7,1400.0
8,1400.0
9,1400.0
10,109.375
2,1400.0
3,500.0
4,300.0
5,1400.0
6,1400.0
7,1400.0
8,106.25
9,1400.0
10,1400.0
2,400.0
3,1400.0
4,1400.0
5,200.0
6,262.5
7,1400.0
8,421.875
9,1400.0
10,78.125
2,400.0
3,1400.0
4,100.0
5,1400.0
6,325.0
7,1400.0
8,1400.0
9,325.0
10,218.75
2,1400.0
3,200.0
4,1400.0
5,1400.0
6,262.5
7,1400.0
8,346.875
9,1400.0
10,1400.0
2,1400.0
3,1400.0
4,300.0
5,475.0
6,175.0
7,1400.0
8,171.875
9,134.375
10,1400.0
2,400.0
3,1400.0
4,1400.0
5,1400.0
6,1400.0
7,325.0
8,346.875
9,273.4375
10,373.4375
2,1400.0
3,1400.0
4,1400.0
5,1400.0
6,1400.0
7,106.25
8,1400.0
9,1400.0
10,1400.0
2,1400.0
3,1400.0
4,1400.0
5,1400.0
6,1400.0
7,1400.0
8,1400.0
9,331.25
10,127.34375
2,1400.0
3,300.0
4,300.0
5,0.0
6,1400.0
7,218.75
8,215.625
9,196.875
10,1400.0
2,1400.0
3,200.0
4,1400.0
5,275.0
6,325.0
7,425.0
8,1400.0
9,1400.0
10,1400.0
2,1400.0
3,0.0
4,1400.0
5,225.0
6,450.0
7,106.25
8,390.625
9,1400.0
10,1400.0
2,400.0
3,1400.0
4,300.0
5,0.0
6,1400.0
7,1400.0
8,40.625
9,1400.0
10,1400.0
2,1400.0
3,1400.0
4,150.0
5,1400.0
6,225.0
7,1400.0
8,90.625
9,1400.0
10,1400.0
2,1400.0
3,0.0
4,300.0
5,475.0
6,1400.0
7,293.75
8,134.375
9,1400.0
10,1400.0
2,1400.0
3,400.0
4,1400.0
5,25.0
6,262.5
7,1400.0
8,1400.0
9,1400.0
10,1400.0
2,1400.0
3,500.0
4,1400.0
5,1400.0
6,1400.0
7,456.25
8,456.25
9,1400.0
10,279.6875
2,1400.0
3,500.0
4,250.0
5,1400.0
6,1400.0
7,331.25
8,1400.0
9,1400.0
10,1400.0
2,1400.0
3,100.0
4,1400.0
5,1400.0
6,1400.0
7,1400.0
8,1400.0
9,93.75
10,1400.0
2,1400.0
3,1400.0
4,200.0
5,25.0
6,1400.0
7,1400.0
8,137.5
9,1400.0
10,1400.0
2,1400.0
3,1400.0
4,1400.0
5,400.0
6,325.0
7,1400.0
8,1400.0
9,10.9375
10,1400.0
2,1400.0
3,1400.0
4,1400.0
5,1400.0
6,150.0
7,231.25
8,1400.0
9,1400.0
10,1400.0
2,400.0
3,1400.0
4,450.0
5,1400.0
6,1400.0
7,1400.0
8,1400.0
9,1400.0
10,1400.0
2,1400.0
3,1400.0
4,1400.0
5,1400.0
6,450.0
7,1400.0
8,1400.0
9,1400.0
10,448.4375
2,1400.0
3,1400.0
4,1400.0
5,1400.0
6,1400.0
7,1400.0
8,153.125
9,1400.0
10,1400.0
2,400.0
3,500.0
4,300.0
5,375.0
6,1400.0
7,143.75
8,1400.0
9,1400.0
10,1400.0
2,400.0
3,1400.0
4,250.0
5,225.0
6,337.5
7,1400.0
8,21.875
9,371.875
10,1400.0
2,1400.0
3,500.0
4,1400.0
5,325.0
6,1400.0
7,1400.0
8,1400.0
9,1400.0
10,200.0
2,1400.0
3,1400.0
4,250.0
5,1400.0
6,1400.0
7,1400.0
8,1400.0
9,204.6875
10,1400.0
2,1400.0
3,1400.0
4,1400.0
5,225.0
6,1400.0
7,1400.0
8,1400.0
9,21.875
10,1400.0
2,400.0
3,1400.0
4,1400.0
5,1400.0
6,1400.0
7,1400.0
8,1400.0
9,84.375
10,1400.0
2,400.0
3,1400.0
4,450.0
5,1400.0
6,1400.0
7,1400.0
8,1400.0
9,1400.0
10,1400.0
2,400.0
3,0.0
4,300.0
5,325.0
6,1400.0
7,1400.0
8,1400.0
9,1400.0
10,1400.0
2,1400.0
3,1400.0
4,150.0
5,225.0
6,1400.0
7,106.25
8,21.875
9,1400.0
10,14.84375
2,0.0
3,1400.0
4,1400.0
5,1400.0
6,1400.0
7,1400.0
8,303.125
9,190.625
10,279.6875
2,1400.0
3,1400.0
4,450.0
5,1400.0
6,1400.0
7,1400.0
8,246.875
9,51.5625
10,1400.0
2,400.0
3,1400.0
4,400.0
5,1400.0
6,1400.0
7,1400.0
8,259.375
9,1400.0
10,160.9375
2,0.0
3,1400.0
4,100.0
5,475.0
6,1400.0
7,1400.0
8,1400.0
9,1400.0
10,1400.0
2,400.0
3,1400.0
4,1400.0
5,1400.0
6,187.5
7,1400.0
8,96.875
9,265.625
10,1400.0
2,0.0
3,1400.0
4,1400.0
5,300.0
6,450.0
7,387.5
8,456.25
9,1400.0
10,319.53125
2,0.0
3,1400.0
4,1400.0
5,1400.0
6,1400.0
7,1400.0
8,481.25
9,1400.0
10,232.8125
2,1400.0
3,1400.0
4,150.0
5,1400.0
6,1400.0
7,181.25
8,1400.0
9,335.9375
10,1400.0
2,400.0
3,1400.0
4,1400.0
5,350.0
6,1400.0
7,1400.0
8,1400.0
9,1400.0
10,1400.0
2,0.0
3,1400.0
4,300.0
5,1400.0
6,1400.0
7,1400.0
8,1400.0
9,1400.0
10,448.4375
2,1400.0
3,500.0
4,1400.0
5,1400.0
6,1400.0
7,87.5
8,0.0
9,87.5
10,1400.0
2,1400.0
3,1400.0
4,150.0
5,1400.0
6,1400.0
7,1400.0
8,1400.0
9,3.125
10,1400.0
2,400.0
3,500.0
4,1400.0
5,125.0
6,1400.0
7,1400.0
8,1400.0
9,1400.0
10,448.4375
2,1400.0
3,500.0
4,150.0
5,200.0
6,450.0
7,1400.0
8,1400.0
9,1400.0
10,21.875
2,400.0
3,500.0
4,1400.0
5,225.0
6,450.0
7,293.75
8,1400.0
9,284.375
10,1400.0
2,400.0
3,0.0
4,250.0
5,0.0
6,325.0
7,1400.0
8,1400.0
9,1400.0
10,47.65625
2,0.0
3,300.0
4,1400.0
5,350.0
6,450.0
7,137.5
8,284.375
9,1400.0
10,448.4375
2,0.0
3,400.0
4,300.0
5,1400.0
6,450.0
7,1400.0
8,193.75
9,231.25
10,1400.0
2,0.0
3,1400.0
4,1400.0
5,1400.0
6,1400.0
7,1400.0
8,62.5
9,181.25
10,1400.0
2,1400.0
3,1400.0
4,1400.0
5,1400.0
6,1400.0
7,256.25
8,1400.0
9,90.625
