starting bet count,end balance
2,1250.0
3,1250.0
4,1250.0
5,171.875
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,297.8515625
2,1250.0
3,1250.0
4,1250.0
5,93.75
6,265.625
7,250.0
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,62.5
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,140.625
6,46.875
7,1250.0
8,72.265625
9,1250.0
10,1250.0
2,250.0
3,1250.0
4,1250.0
5,312.5
6,1250.0
7,1250.0
8,1250.0
9,89.84375
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,78.125
6,1250.0
7,1250.0
8,416.015625
9,1250.0
10,1250.0
2,375.0
3,1250.0
4,187.5
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,1250.0
2,250.0
3,312.5
4,1250.0
5,62.5
6,1250.0
7,148.4375
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,312.5
4,187.5
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,259.765625
10,1250.0
2,1250.0
3,250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,320.3125
10,1250.0
2,375.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,279.296875
9,174.8046875
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,234.375
6,46.875
7,1250.0
8,1250.0
9,300.78125
10,120.60546875
2,250.0
3,1250.0
4,343.75
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,150.390625
10,1250.0
2,1250.0
3,1250.0
4,187.5
5,1250.0
6,1250.0
7,285.15625
8,1250.0
9,1250.0
10,129.39453125
2,1250.0
3,125.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,19.53125
9,1250.0
10,252.44140625
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,302.24609375
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,93.75
10,1250.0
2,1250.0
3,375.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,312.5
4,1250.0
5,1250.0
6,1250.0
7,19.53125
8,1250.0
9,1250.0
10,220.703125
2,1250.0
3,62.5
4,1250.0
5,1250.0
6,187.5
7,156.25
8,99.609375
9,186.5234375
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,234.375
6,1250.0
7,1250.0
8,1250.0
9,79.1015625
10,128.90625
2,250.0
3,312.5
4,187.5
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,114.74609375
2,1250.0
3,1250.0
4,1250.0
5,78.125
6,265.625
7,1250.0
8,119.140625
9,1250.0
10,1250.0
2,0.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,19.53125
9,1250.0
10,60.546875
2,250.0
3,1250.0
4,1250.0
5,1250.0
6,218.75
7,148.4375
8,251.953125
9,1250.0
10,1250.0
2,250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,209.9609375
10,1250.0
2,250.0
3,1250.0
4,93.75
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,134.765625
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,246.09375
8,1250.0
9,1250.0
10,70.80078125
2,1250.0
3,1250.0
4,187.5
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,265.625
10,75.1953125
2,250.0
3,250.0
4,1250.0
5,31.25
6,1250.0
7,1250.0
8,1250.0
9,216.796875
10,132.32421875
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,333.984375
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,156.25
9,213.8671875
10,1250.0
2,375.0
3,312.5
4,93.75
5,125.0
6,1250.0
7,1250.0
8,1250.0
9,265.625
10,1250.0
2,0.0
3,1250.0
4,1250.0
5,1250.0
6,148.4375
7,1250.0
8,21.484375
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,93.75
5,1250.0
6,304.6875
7,1250.0
8,1250.0
9,100.5859375
10,283.203125
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,226.5625
7,1250.0
8,1250.0
9,286.1328125
10,1250.0
2,1250.0
3,1250.0
4,281.25
5,109.375
6,304.6875
7,285.15625
8,1250.0
9,210.9375
10,1250.0
2,250.0
3,1250.0
4,1250.0
5,31.25
6,1250.0
7,1250.0
8,60.546875
9,202.1484375
10,1250.0
2,250.0
3,1250.0
4,1250.0
5,1250.0
6,343.75
7,1250.0
8,1250.0
9,1250.0
10,1250.0
2,0.0
3,1250.0
4,1250.0
5,1250.0
6,312.5
7,148.4375
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,126.953125
9,1250.0
10,321.77734375
2,1250.0
3,312.5
4,93.75
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,215.8203125
10,167.96875
2,1250.0
3,62.5
4,250.0
5,1250.0
6,1250.0
7,285.15625
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,281.25
6,265.625
7,1250.0
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,187.5
5,1250.0
6,226.5625
7,1250.0
8,1250.0
9,169.921875
10,300.78125
2,1250.0
3,125.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,187.5
5,46.875
6,148.4375
7,1250.0
8,33.203125
9,63.4765625
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,343.75
7,148.4375
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,250.0
4,1250.0
5,1250.0
6,343.75
7,1250.0
8,1250.0
9,1250.0
10,138.18359375
2,1250.0
3,1250.0
4,1250.0
5,265.625
6,1250.0
7,1250.0
8,1250.0
9,175.78125
10,1250.0
2,375.0
3,1250.0
4,93.75
5,359.375
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,1250.0
2,375.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,181.640625
10,1250.0
2,1250.0
3,1250.0
4,187.5
5,359.375
6,343.75
7,1250.0
8,3.90625
9,1250.0
10,76.66015625
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,468.75
7,1250.0
8,333.984375
9,1250.0
10,1250.0
2,1250.0
3,312.5
4,1250.0
5,1250.0
6,1250.0
7,160.15625
8,1250.0
9,264.6484375
10,217.28515625
2,1250.0
3,125.0
4,187.5
5,234.375
6,1250.0
7,148.4375
8,320.3125
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,93.75
5,1250.0
6,1250.0
7,1250.0
8,207.03125
9,1250.0
10,119.140625
2,1250.0
3,1250.0
4,1250.0
5,156.25
6,1250.0
7,1250.0
8,1250.0
9,300.78125
10,1250.0
2,1250.0
3,375.0
4,1250.0
5,140.625
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,76.171875
2,250.0
3,312.5
4,1250.0
5,1250.0
6,1250.0
7,46.875
8,152.34375
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,145.5078125
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,119.140625
2,1250.0
3,312.5
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,1250.0
4,1250.0
5,1250.0
6,1250.0
7,1250.0
8,1250.0
9,1250.0
10,1250.0
2,1250.0
3,500.0
4,343.75
5,1250.0
6,132.8125
7,1250.0
8,1250.0
9,1250.0
