starting bet count,end balance
2,250.0
3,375.0
4,1500.0
5,1500.0
6,1500.0
7,1500.0
8,1500.0
9,220.703125
10,1500.0
2,250.0
3,375.0
4,0.0
5,31.25
6,156.25
7,437.5
8,1500.0
9,355.46875
10,181.640625
2,500.0
3,1500.0
4,1500.0
5,1500.0
6,1500.0
7,1500.0
8,269.53125
9,1500.0
10,1500.0
2,1500.0
3,1500.0
4,1500.0
5,93.75
6,156.25
7,156.25
8,1500.0
9,82.03125
10,1500.0
2,500.0
3,125.0
4,500.0
5,156.25
6,156.25
7,156.25
8,1500.0
9,13.671875
10,1500.0
2,500.0
3,375.0
4,500.0
5,1500.0
6,1500.0
7,328.125
8,128.90625
9,345.703125
10,1500.0
2,1500.0
3,1500.0
4,125.0
5,1500.0
6,156.25
7,140.625
8,167.96875
9,1500.0
10,1500.0
2,500.0
3,1500.0
4,1500.0
5,1500.0
6,234.375
7,351.5625
8,1500.0
9,353.515625
10,486.328125
2,1500.0
3,1500.0
4,500.0
5,0.0
6,156.25
7,351.5625
8,183.59375
9,121.09375
10,11.71875
2,250.0
3,375.0
4,1500.0
5,281.25
6,234.375
7,1500.0
8,1500.0
9,1500.0
10,1500.0
2,1500.0
3,250.0
4,500.0
5,1500.0
6,1500.0
7,1500.0
8,1500.0
9,353.515625
10,1500.0
2,250.0
3,1500.0
4,1500.0
5,281.25
6,156.25
7,1500.0
8,292.96875
9,214.84375
10,146.484375
2,1500.0
3,1500.0
4,1500.0
5,1500.0
6,406.25
7,23.4375
8,351.5625
9,1500.0
10,1500.0
2,250.0
3,375.0
4,1500.0
5,31.25
6,156.25
7,492.1875
8,1500.0
9,265.625
10,159.1796875
2,250.0
3,375.0
4,500.0
5,0.0
6,234.375
7,1500.0
8,242.1875
9,142.578125
10,416.015625
2,1500.0
3,0.0
4,500.0
5,62.5
6,1500.0
7,320.3125
8,1500.0
9,1500.0
10,1500.0
2,250.0
3,125.0
4,500.0
5,1500.0
6,1500.0
7,257.8125
8,429.6875
9,296.875
10,187.5
2,1500.0
3,1500.0
4,312.5
5,1500.0
6,1500.0
7,1500.0
8,1500.0
9,216.796875
10,466.796875
2,250.0
3,375.0
4,1500.0
5,1500.0
6,1500.0
7,234.375
8,1500.0
9,1500.0
10,1500.0
2,500.0
3,1500.0
4,500.0
5,1500.0
6,1500.0
7,46.875
8,74.21875
9,1500.0
10,1500.0
2,1500.0
3,1500.0
4,1500.0
5,281.25
6,1500.0
7,1500.0
8,1500.0
9,214.84375
10,1500.0
2,250.0
3,0.0
4,1500.0
5,1500.0
6,1500.0
7,351.5625
8,1500.0
9,121.09375
10,351.5625
2,250.0
3,1500.0
4,500.0
5,1500.0
6,1500.0
7,234.375
8,1500.0
9,1500.0
10,427.734375
2,250.0
3,1500.0
4,62.5
5,1500.0
6,0.0
7,375.0
8,1500.0
9,380.859375
10,1500.0
2,1500.0
3,375.0
4,1500.0
5,281.25
6,156.25
7,1500.0
8,1500.0
9,1500.0
10,1500.0
2,500.0
3,125.0
4,500.0
5,1500.0
6,312.5
7,234.375
8,351.5625
9,203.125
10,1500.0
2,500.0
3,125.0
4,500.0
5,1500.0
6,1500.0
7,1500.0
8,351.5625
9,23.4375
10,163.0859375
2,500.0
3,375.0
4,500.0
5,1500.0
6,234.375
7,210.9375
8,281.25
9,214.84375
10,41.015625
2,1500.0
3,250.0
4,1500.0
5,281.25
6,234.375
7,1500.0
8,1500.0
9,316.40625
10,1500.0
2,1500.0
3,250.0
4,1500.0
5,281.25
6,218.75
7,140.625
8,421.875
9,216.796875
10,486.328125
2,500.0
3,1500.0
4,1500.0
5,1500.0
6,234.375
7,1500.0
8,351.5625
9,296.875
10,1500.0
2,1500.0
3,1500.0
4,500.0
5,1500.0
6,1500.0
7,125.0
8,1500.0
9,1500.0
10,1500.0
2,250.0
3,1500.0
4,500.0
5,1500.0
6,1500.0
7,1500.0
8,1500.0
9,175.78125
10,515.625
2,1500.0
3,1500.0
4,187.5
5,375.0
6,390.625
7,1500.0
8,1500.0
9,296.875
10,190.4296875
2,1500.0
3,1500.0
4,500.0
5,218.75
6,312.5
7,1500.0
8,1500.0
9,316.40625
10,1500.0
2,1500.0
3,375.0
4,1500.0
5,500.0
6,1500.0
7,1500.0
8,347.65625
9,1500.0
10,310.546875
2,1500.0
3,1500.0
4,500.0
5,0.0
6,156.25
7,1500.0
8,417.96875
9,1500.0
10,416.015625
2,250.0
3,375.0
4,312.5
5,281.25
6,328.125
7,1500.0
8,1500.0
9,1500.0
10,1500.0
2,250.0
3,1500.0
4,312.5
5,1500.0
6,312.5
7,1500.0
8,183.59375
9,1500.0
10,1500.0
2,500.0
3,1500.0
4,312.5
5,125.0
6,1500.0
7,1500.0
8,554.6875
9,423.828125
10,1500.0
2,1500.0
3,1500.0
4,1500.0
5,1500.0
6,1500.0
7,1500.0
8,417.96875
9,328.125
10,1500.0
2,1500.0
3,1500.0
4,62.5
5,93.75
6,156.25
7,1500.0
8,1500.0
9,380.859375
10,1500.0
2,500.0
3,1500.0
4,1500.0
5,406.25
6,1500.0
7,1500.0
8,1500.0
9,1500.0
10,310.546875
2,1500.0
3,1500.0
4,500.0
5,1500.0
6,1500.0
7,1500.0
8,1500.0
9,332.03125
10,310.546875
2,500.0
3,250.0
4,500.0
5,1500.0
6,156.25
7,1500.0
8,1500.0
9,1500.0
10,208.0078125
2,250.0
3,250.0
4,1500.0
5,281.25
6,234.375
7,375.0
8,1500.0
9,1500.0
10,459.9609375
2,1500.0
3,125.0
4,500.0
5,93.75
6,234.375
7,164.0625
8,1500.0
9,1500.0
10,149.4140625
2,500.0
3,1500.0
4,125.0
5,1500.0
6,1500.0
7,1500.0
8,1500.0
9,1500.0
10,1500.0
2,1500.0
3,1500.0
4,500.0
5,281.25
6,0.0
7,1500.0
8,1500.0
9,1500.0
10,15.625
2,1500.0
3,1500.0
4,500.0
5,468.75
6,250.0
7,375.0
8,1500.0
9,1500.0
10,380.859375
2,1500.0
3,1500.0
4,1500.0
5,31.25
6,1500.0
7,281.25
8,1500.0
9,1500.0
10,1500.0
2,1500.0
3,1500.0
4,1500.0
5,1500.0
6,312.5
7,1500.0
8,429.6875
9,1500.0
10,1500.0
2,500.0
3,250.0
4,125.0
5,1500.0
6,1500.0
7,1500.0
8,347.65625
9,345.703125
10,1500.0
2,500.0
3,1500.0
4,500.0
5,1500.0
6,1500.0
7,234.375
8,74.21875
9,1500.0
10,1500.0
2,250.0
3,1500.0
4,125.0
5,281.25
6,390.625
7,1500.0
8,1500.0
9,355.46875
10,1500.0
2,1500.0
3,1500.0
4,500.0
5,1500.0
6,1500.0
7,23.4375
8,1500.0
9,316.40625
10,420.8984375
2,1500.0
3,250.0
4,1500.0
5,1500.0
6,156.25
7,156.25
8,1500.0
9,1500.0
10,292.96875
2,500.0
3,1500.0
4,62.5
5,1500.0
6,390.625
7,1500.0
8,128.90625
9,214.84375
10,416.015625
2,1500.0
3,1500.0
4,62.5
5,250.0
6,1500.0
7,164.0625
8,457.03125
9,361.328125
10,1500.0
2,1500.0
3,250.0
4,1500.0
5,31.25
6,1500.0
7,156.25
8,1500.0
9,1500.0
10,1500.0
2,1500.0
3,1500.0
4,500.0
5,281.25
6,390.625
7,492.1875
8,1500.0
9,1500.0
10,491.2109375
2,1500.0
3,1500.0
4,1500.0
5,125.0
6,1500.0
