starting bet count,end balance
2,1300.0
3,1300.0
4,1300.0
5,1300.0
6,250.0
7,1299.9999999999998
8,1300.0
9,1299.9999999999998
10,100.0
2,1300.0
3,1300.0
4,325.0
5,1300.0
6,1300.0
7,185.71428571428572
8,100.0
9,233.33333333333343
10,100.0
2,250.0
3,100.0
4,1300.0
5,1300.0
6,1300.0
7,1300.0000000000002
8,1300.0
9,1300.0
10,1300.0
2,100.0
3,1300.0
4,1300.0
5,1300.0
6,250.0
7,228.57142857142873
8,175.0
9,233.33333333333343
10,1300.0
2,1300.0
3,1300.0
4,100.0
5,1300.0
6,150.0
7,1300.0000000000002
8,100.0
9,1299.9999999999998
10,130.0
2,1300.0
3,1300.0
4,1300.0
5,160.0
6,200.0
7,1300.0000000000002
8,137.5
9,1299.9999999999998
10,250.0
2,1300.0
3,1300.0
4,1300.0
5,1300.0
6,1300.0
7,1299.9999999999998
8,1300.0
9,1300.0
10,1300.0
2,1300.0
3,200.0
4,1300.0
5,1300.0
6,250.0
7,1300.0
8,1300.0
9,1299.9999999999998
10,1300.0
2,1300.0
3,100.0
4,250.0
5,1300.0
6,1300.0
7,1300.0000000000002
8,1300.0
9,1299.9999999999998
10,1300.0
2,1300.0
3,200.0
4,1300.0
5,1300.0
6,1300.0
7,228.5714285714285
8,250.0
9,1.1368683772161603e-13
10,1300.0
2,1300.0
3,100.0
4,1300.0
5,1300.0
6,1300.0
7,1300.0000000000002
8,1300.0
9,300.0000000000003
10,1300.0
2,1300.0
3,1300.0
4,1300.0
5,100.0
6,1300.0
7,1300.0000000000002
8,1300.0
9,33.33333333333343
10,160.0
2,250.0
3,1300.0
4,25.0
5,220.0
6,1300.0
7,1300.0000000000002
8,1300.0
9,1299.9999999999995
10,1300.0
2,1300.0
3,200.0
4,1300.0
5,280.0
6,50.0
7,1299.9999999999998
8,1300.0
9,199.9999999999999
10,1300.0
2,1300.0
3,1300.0
4,1300.0
5,1300.0
6,1300.0
7,1299.9999999999998
8,1300.0
9,1299.9999999999995
10,1300.0
2,1300.0
3,1300.0
4,1300.0
5,100.0
6,1300.0
7,1299.9999999999998
8,250.0
9,1299.9999999999998
10,1300.0
2,100.0
3,1300.0
4,250.0
5,160.0
6,1300.0
7,271.42857142857156
8,1300.0
9,1300.0000000000002
10,130.0
2,250.0
3,1300.0
4,325.0
5,1300.0
6,100.0
7,1300.0000000000002
8,212.5
9,299.9999999999996
10,1300.0
2,100.0
3,1300.0
4,100.0
5,1300.0
6,1300.0
7,1300.0
8,1300.0
9,66.66666666666669
10,190.0
2,100.0
3,1300.0
4,100.0
5,100.0
6,1300.0
7,1299.9999999999998
8,1300.0
9,1300.0
10,220.0
2,1300.0
3,1300.0
4,1300.0
5,1300.0
6,1300.0
7,100.00000000000006
8,1300.0
9,1299.9999999999995
